figure_id,filename,local_path,public_url,caption,requirement
two_smf_post_comsol_evidence_chain,two_smf_post_comsol_evidence_chain.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_post_comsol_evidence_chain.png,PENDING_PUBLIC_UPLOAD,"Evidence-chain overview with pass/fail/deferred status for requirements, Lumerical EME, COMSOL FDE, and deferred stages.",mandatory overview evidence chain
two_smf_orientation_sanity_summary,two_smf_orientation_sanity_summary.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_orientation_sanity_summary.png,PENDING_PUBLIC_UPLOAD,Dedicated orientation-sanity geometry/control/metric figure; orientation sanity is retained but eta remains below 0.5.,orientation sanity data and figure
two_smf_comsol_lumerical_metrics_summary,two_smf_comsol_lumerical_metrics_summary.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_comsol_lumerical_metrics_summary.png,PENDING_PUBLIC_UPLOAD,COMSOL-vs-Lumerical metric summary for primary and orientation-sanity rows.,solver comparison / COMSOL cross-check
two_smf_fallback_geometry,two_smf_fallback_geometry.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_fallback_geometry.png,PENDING_PUBLIC_UPLOAD,Structure top view for the pitch-constrained primary and orientation-sanity candidates.,existing Lumerical/COMSOL report figure
two_smf_fallback_controls,two_smf_fallback_controls.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_fallback_controls.png,PENDING_PUBLIC_UPLOAD,Frozen Jones-like control amplitudes and phases for primary and orientation-sanity rows.,existing Lumerical/COMSOL report figure
two_smf_fallback_candidate_comparison,two_smf_fallback_candidate_comparison.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_fallback_candidate_comparison.png,PENDING_PUBLIC_UPLOAD,Fallback candidate comparison under the pitch>=30 um constraint.,existing Lumerical/COMSOL report figure
two_smf_fresh_eme_eta,two_smf_fresh_eme_eta.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_fresh_eme_eta.png,PENDING_PUBLIC_UPLOAD,Fresh Lumerical EME butt replay eta for primary and orientation-sanity rows.,existing Lumerical/COMSOL report figure
two_smf_fresh_eme_energy,two_smf_fresh_eme_energy.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_fresh_eme_energy.png,PENDING_PUBLIC_UPLOAD,Fresh Lumerical EME energy ledger showing residual/unretained power remains dominant.,existing Lumerical/COMSOL report figure
two_smf_offset_eme_eta,two_smf_offset_eme_eta.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_offset_eme_eta.png,PENDING_PUBLIC_UPLOAD,"Offset Lumerical EME replay eta under +/-0.5, +/-1, and +/-2 um interface offsets.",existing Lumerical/COMSOL report figure
two_smf_offset_eme_energy,two_smf_offset_eme_energy.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_offset_eme_energy.png,PENDING_PUBLIC_UPLOAD,Offset Lumerical EME energy ledger; offsets do not recover eta.,existing Lumerical/COMSOL report figure
smf_count_eta_by_count,smf_count_eta_by_count.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\smf_count_eta_by_count.png,PENDING_PUBLIC_UPLOAD,SMF-count eta trend; only 8-SMF passes the strict-orientation eta gate in this fixed-basis screen.,existing Lumerical/COMSOL report figure
smf_count_eta_energy_summary,smf_count_eta_energy_summary.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\smf_count_eta_energy_summary.png,PENDING_PUBLIC_UPLOAD,SMF-count eta and energy summary supporting launch-subspace/core-count limitation.,existing Lumerical/COMSOL report figure
smf_count_best_ring_layouts,smf_count_best_ring_layouts.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\smf_count_best_ring_layouts.png,PENDING_PUBLIC_UPLOAD,Best ring layouts by SMF count for the fixed-basis audit.,existing Lumerical/COMSOL report figure
two_smf_comsol_eta_comparison,two_smf_comsol_eta_comparison.png,C:\Users\17258\OneDrive - University of Southampton\Codex—MCF mode\Demo for user\2026-05-26_two_core_lp11_direct_launcher_demo\results\reports\two_smf_lp11_post_comsol_public_assets\figures\two_smf_comsol_eta_comparison.png,PENDING_PUBLIC_UPLOAD,COMSOL-vs-Lumerical eta comparison; agreement passes but eta gate fails.,existing Lumerical/COMSOL report figure
